title,category,genre,year,direct,actors,content
스텝 업4 : 레볼루션 ,극영화,"드라마,로맨스",2012,스콧 스피어,제니 메이어 ,"대기업후계자,댄서,댄스배틀,마이애미,시리즈,속편"
영 어덜트,극영화,"드라마,코메디",2011,제이슨 라이트먼,디아블로 코디,"고향,대필작가,성공,행복,술"
레드라이트 ,극영화,스릴러,2012,로드리고 코르테스,로드리고 코르테스,"심령술사,심리학자,물리학자,대결"
명탐정 코난 : 침묵의 15분,애니메이션,범죄,2011,시즈노 코분,아오야마 고쇼,"도지사,폭탄테러,협박,뺑소니,설원"
리허설 ,극영화,로맨스,2000,까뜨린느 꼬르시니,까뜨린느 꼬르시니,"단짝친구,치과,연극배우,구속"
붉은 밤,극영화,스릴러,2010,"줄리앙 카본,로렌트 코티아드","로렌트 코티아드,줄리앙 카본","광동,오페라,프랑스,독약"
에브리씽 머스트 고,극영화,"드라마,코메디",2010,조단 러쉬,조단 러쉬,"권고사직,이혼,카드정지,노숙"
별을 쫓는 아이,애니메이션,"드라마,어드벤처,판타지",2011,신카이 마코토,신카이 마코토,"괴물,라디오,모험,전설,지하도시,비밀조직,재개봉"
간츠,극영화,액션,2011,사토 신수케,와타나베 유스케,"죽음,소꿉친구,게임,싸움"
성룡의 쿵푸마스터,극영화,"드라마,액션",2009,"방강량,강평 ",,"인도네시아,성룡,쿵푸,낙제,여름방학,베이징"
내 슬픈 창녀들의 추억,극영화,드라마,2011,헤닝 카슨 ,장 끌로드 까리에,"비평가,사창가,어머니,처녀,열병"
명탐정 코난 : 11번째 스트라이커 ,애니메이션,어드벤처,2012,"시즈노 코분,야마모토 야스이치로",코우치 카즈나리,"소년탐정,수수께끼,암호해독,협박전화"
케빈에 대하여,극영화,"드라마,스릴러",2011,린 램지,"린 램지,로리 키니어 ","여행가,엄마와아들,반항,책임"
인트루더스 ,극영화,"스릴러,공포",2011,후안 카를로스 프레스나딜로,"자이메 마르케스,니콜라스 카사리에고 ","악령,괴물,얼굴,스페인,영국"
잭 앤 질,극영화,"로맨스,코메디",2011,데니스 듀간,"스티브 코렌,로버트 스미젤,벤 주크 ","쌍둥이,남매,비호감,명절"
네이키드웨폰 - 사소리,극영화,"드라마,액션",2011,마위호,,"남자친구,괴한,살해,복수,기억상실증"
빙우(氷雨),극영화,"드라마,로맨스",2003,김은숙,"박미영,서지영,김은숙","기억,등반,빙벽,삼각관계,아시아크,알래스카,얼음동굴,조난,눈보라,알라스카,조난사고,설산,고립,얼음,추억,첫사랑,죽음"
해피 에로 크리스마스,극영화,"드라마,코메디",2003,이건동,"이건동(정현심,이언희)","건달,경찰,두목,보스,볼링장,순경,실연,온천,조폭,징크스,짝사랑,크리스마스,상호견제"
실미도,극영화,드라마,2003,강우석,김희재,"1970년대,684부대,김일성암살계획,비밀특공대,사형,사회낙오자,성폭행,실화바탕,암살,연좌제,인천,지옥훈련,살인미수,군인,김일성,살인훈련,특수훈련,자폭,무장공비,남북문제"
휴가,극영화,드라마,2002,이정표,이정표(시나리오 감독),"1970년,강원도,늦가을,단편영화,독립영화,전쟁고아,휴가,첫휴가,식당,작부,잠자리,반지,은반지,누나,오누이,남매"
나비,극영화,"드라마,범죄,액션",2003,김현성,권재우,"1980년대,군부독재,기차역,문신,삼청교육대,제비,재회,만남,헤어짐,사랑과이별,제비족,룸싸롱,룸살롱,바람,군인"
오세암,애니메이션,"드라마,가족",2003,"성백엽,양진철","최민용,이서경,성백엽","누나,동화원작,산사,스님,암자,애니메이션,엄마,장님,폭설,시각장애인,남매,오누이,절,활기,동심,소원,깨달음"
와일드 카드,극영화,"범죄,액션",2003,김유진,이만희,"강력계형사,강력반,강력반형사,권총,범인,살인,연쇄살인,잠복,잠복수사,총,퍽치기,희생자,형사"
선택,극영화,드라마,2003,홍기선,이맹유,"UN군포로,각서,간수,교도소,비전향장기수,이데올로기,전향,좌익수,해방,간첩,국방경비법,사형선고,형무소,대전교도소,통일"
대한민국 헌법 제1조,극영화,"드라마,코메디",2003,송경식,"김진수,최종태(지상학,문상훈,박종근,김태형,김미현,박연선,정성희,최원,문성룡)","국회의원,국회의원선거,뉴스앵커,보궐선거,복상사,부정선거,부패정치,부정선거,암살음모,야당,여당,윤락녀,음모,정치,정치비리,정치음모,정치인,정치풍자,킬러,선거구,선거"
